report_school_name,report_years,matches_school_uuid,match_confidence
"AKRON, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",114,1
"ALABAMA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",2,1
ALBANY LAW SCHOOL,[2012],97,0.8
ALBANY LAW SCHOOL OF UNION UNIVERSITY,"[2013, 2014, 2015, 2016, 2017]",97,1
AMERICAN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",27,1
APPALACHIAN SCHOOL OF LAW,"[2012, 2013, 2014, 2015, 2016, 2017]",191,1
ARIZONA STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",3,1
ARIZONA SUMMIT LAW SCHOOL,"[2013, 2014, 2015, 2016, 2017]",202,1
"ARIZONA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",4,1
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",5,1
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",6,1
ATLANTA JOHN MARSHALL SAVANNAH,"[2016, 2017]",#N/A,0
ATLANTA'S JOHN MARSHALL LAW SHOOL,"[2012, 2013, 2014, 2015, 2016, 2017]",197,1
AVE MARIA,[2012],193,0.8
AVE MARIA SCHOOL OF LAW,"[2013, 2014, 2015, 2016, 2017]",193,1
"BALTIMORE, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",67,1
BARRY UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",192,1
BAYLOR UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",149,1
BELMONT UNIVERSITY,"[2015, 2016, 2017]",213,1
BOSTON COLLEGE,"[2012, 2013, 2014, 2015, 2016, 2017]",73,1
BOSTON UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",69,1
BRIGHAM YOUNG UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",150,1
BROOKLYN LAW SCHOOL,"[2012, 2013, 2014, 2015, 2016, 2017]",100,1
CALIFORNIA WESTERN SCHOOL OF LAW,"[2012, 2013, 2014, 2015, 2016, 2017]",14,1
"CALIFORNIA-BERKELEY, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",7,1
"CALIFORNIA-DAVIS, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",8,1
"CALIFORNIA-HASTINGS, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",16,1
"CALIFORNIA-IRVINE, UNIVERSITY OF","[2013, 2014, 2015, 2016, 2017]",211,1
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",9,1
CAMPBELL UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",169,1
CAPITAL UNIVERSITY,"[2012, 2013, 2016, 2014, 2015, 2017]",118,1
CARDOZO SCHOOL OF LAW,"[2013, 2014, 2015, 2016, 2017]",168,1
CASE WESTERN RESERVE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",117,1
CATHOLIC UNIVERSITY OF AMERICA,"[2012, 2013, 2014, 2015, 2016, 2017]",29,1
CHAPMAN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",186,1
CHARLESTON SCHOOL OF LAW,"[2012, 2013, 2014, 2015, 2016, 2017]",201,1
CHARLOTTE SCHOOL OF LAW,"[2012, 2013, 2014, 2015, 2016, 2017]",206,1
CHICAGO-KENT COLLEGE OF LAW-IIT,"[2013, 2014, 2015, 2016, 2017]",45,1
"CHICAGO, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",50,1
"CINCINNATI, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",115,1
CITY UNIVERSITY OF NEW YORK,"[2012, 2013, 2014, 2015, 2016, 2017]",176,1
CLEVELAND STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",116,1
"COLORADO, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",22,1
COLUMBIA UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",101,1
CONCORDIA LAW SCHOOL,[2017],212,1
"CONNECTICUT, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",24,1
CORNELL UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",99,1
CREIGHTON UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",91,1
"DAYTON, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",121,1
"DENVER, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",23,1
DEPAUL UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",46,1
"DETROIT MERCY, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",78,1
DISTRICT OF COLUMBIA,"[2012, 2013, 2014, 2015, 2016, 2017]",180,1
DRAKE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",55,1
DREXEL UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",207,1
DUKE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",109,1
DUQUESNE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",131,1
ELON UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",205,1
EMORY UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",39,1
FAULKNER UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",200,1
FLORIDA A&M,[2012],195,0.8
FLORIDA A&M UNIVERSITY,"[2013, 2014, 2015, 2016, 2017]",195,1
FLORIDA COASTAL,[2012],189,0.8
FLORIDA COASTAL SCHOOL OF LAW,"[2013, 2014, 2015, 2016, 2017]",189,1
FLORIDA INTERNATIONAL,[2012],196,0.8
FLORIDA INTERNATIONAL UNIVERSITY,"[2013, 2014, 2015, 2016, 2017]",196,1
FLORIDA STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",36,1
"FLORIDA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",34,1
FORDHAM UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",102,1
GEORGE MASON UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",171,1
GEORGE WASHINGTON UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",31,1
GEORGETOWN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",30,1
GEORGIA STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",175,1
"GEORGIA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",38,1
GOLDEN GATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",17,1
GONZAGA UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",159,1
HAMLINE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016]",83,1
HARVARD UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",74,1
"HAWAII, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",41,1
HOFSTRA UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",103,1
"HOUSTON, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",144,1
HOWARD UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",32,1
"IDAHO, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",42,1
ILLINOIS INSTITUTE OF TECHNOLOGY,[2012],#N/A,0
"ILLINOIS, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",44,1
INDIANA UNIVERSITY - BLOOMINGTON,"[2013, 2014, 2015, 2016, 2017]",51,1
INDIANA UNIVERSITY - INDIANAPOLIS,"[2012, 2013, 2014, 2015, 2016, 2017]",52,1
INDIANA UNIVERSITY MAURER SCHOOL OF LAW,[2012],51,0.8
INTER AMERICAN UNIVERSITY OF PUERTO RICO,"[2013, 2014, 2015, 2016, 2017]",134,1
"IOWA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",56,1
JOHN MARSHALL LAW SCHOOL,"[2012, 2013, 2014, 2015, 2016, 2017]",47,1
"KANSAS, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",57,1
"KENTUCKY, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",60,1
LEWIS AND CLARK COLLEGE,"[2012, 2013, 2014, 2015, 2016, 2017]",126,1
LIBERTY UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",199,1
LINCOLN MEMORIAL,"[2015, 2016, 2017]",215,1
LOUISIANA STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",62,1
"LOUISVILLE, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",61,1
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,"[2012, 2013, 2014, 2015, 2016, 2017]",10,1
LOYOLA UNIVERSITY-CHICAGO,"[2012, 2013, 2014, 2015, 2016, 2017]",48,1
LOYOLA UNIVERSITY-NEW ORLEANS,"[2012, 2013, 2014, 2015, 2016, 2017]",64,1
"MAINE, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",66,1
MARQUETTE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",163,1
"MARYLAND, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",68,1
MCGEORGE SCHOOL OF LAW,"[2012, 2013, 2014, 2015, 2016, 2017]",13,1
"MEMPHIS, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",140,1
MERCER UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",40,1
"MIAMI, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",33,1
MICHIGAN STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",77,1
"MICHIGAN, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",76,1
"MINNESOTA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",81,1
MISSISSIPPI COLLEGE,"[2012, 2013, 2014, 2015, 2016, 2017]",172,1
"MISSISSIPPI, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",84,1
"MISSOURI-COLUMBIA, UNIVERSITY OF",[2012],#N/A,0
"MISSOURI-KANSAS CITY, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",86,1
"MISSOURI, UNIVERSITY OF","[2013, 2014, 2015, 2016, 2017]",85,1
MITCHELL|HAMLINE,"[2016, 2017]",226,1
"MONTANA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",89,1
"NEBRASKA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",90,1
NEW ENGLAND LAW | BOSTON,"[2012, 2013, 2014, 2015, 2016, 2017]",70,1
NEW HAMPSHIRE UNIVERSITY OF,"[2012, 2013, 2014, 2015, 2016, 2017]",92,1
"NEW MEXICO, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",96,1
NEW YORK LAW SCHOOL,"[2012, 2013, 2014, 2015, 2016, 2017]",104,1
NEW YORK UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",105,1
NORTH CAROLINA CENTRAL UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",110,1
"NORTH CAROLINA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",108,1
"NORTH DAKOTA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",112,1
NORTHEASTERN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",71,1
NORTHERN ILLINOIS UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",165,1
NORTHERN KENTUCKY UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",59,1
NORTHWESTERN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",49,1
"NOTRE DAME, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",53,1
NOVA SOUTHEASTERN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",37,1
OHIO NORTHERN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",113,1
OHIO STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",119,1
OKLAHOMA CITY UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",123,1
"OKLAHOMA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",122,1
"OREGON, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",125,1
PACE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",166,1
PENNSYLVANIA STATE - CARLISLE,[2013],#N/A,0
PENNSYLVANIA STATE - DICKINSON LAW,[2017],219,1
PENNSYLVANIA STATE - PENN STATE LAW,[2017],220,1
PENNSYLVANIA STATE - UNIVERSITY PARK,[2013],#N/A,0
PENNSYLVANIA STATE UNIVERSITY,"[2012, 2013, 2014, 2015]",128,1
"PENNSYLVANIA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",130,1
PEPPERDINE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",19,1
PHOENIX SCHOOL OF LAW,[2012],#N/A,0
"PITTSBURGH, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",132,1
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,"[2013, 2014, 2015, 2016, 2017]",135,1
"PUERTO RICO, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",136,1
QUINNIPIAC UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",181,1
REGENT UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",178,1
"RICHMOND, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",156,1
ROGER WILLIAMS UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",184,1
RUTGERS UNIVERSITY,"[2016, 2017]",224,1
RUTGERS UNIVERSITY-CAMDEN,"[2012, 2013, 2014, 2015]",#N/A,0
RUTGERS UNIVERSITY-NEWARK,"[2012, 2013, 2014, 2015]",#N/A,0
SAINT LOUIS UNIVERSITY,"[2013, 2014, 2015, 2016, 2017]",87,1
SAMFORD UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",1,1
"SAN DIEGO, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",15,1
"SAN FRANCISCO, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",18,1
SANTA CLARA UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",20,1
SEATTLE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",183,1
SETON HALL UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",95,1
"SOUTH CAROLINA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",137,1
"SOUTH DAKOTA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",138,1
SOUTH TEXAS COLLEGE OF LAW,"[2012, 2013, 2014, 2015]",#N/A,0
SOUTH TEXAS COLLEGE OF LAW HOUSTON,"[2016, 2017]",145,1
"SOUTHERN CALIFORNIA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",12,1
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,"[2012, 2013, 2014, 2015, 2016, 2017]",43,1
SOUTHERN METHODIST UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",143,1
SOUTHERN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",63,1
SOUTHWESTERN LAW SCHOOL,"[2012, 2013, 2014, 2015, 2016, 2017]",11,1
ST. JOHN'S UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",106,1
ST. LOUIS UNIVERSITY,[2012],#N/A,0
ST. MARY'S UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",148,1
ST. THOMAS UNIVERSITY,[2012],#N/A,0
ST. THOMAS UNIVERSITY (FLORIDA),"[2013, 2014, 2015, 2016, 2017]",177,1
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)","[2013, 2014, 2015, 2016, 2017]",194,1
STANFORD UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",21,1
STATE UNIVERSITY OF NEW YORK AT BUFFALO,[2012],#N/A,0
STETSON UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",35,1
SUFFOLK UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",72,1
SYRACUSE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",107,1
TEMPLE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",129,1
"TENNESSEE, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",139,1
TEXAS A&M UNIVERSITY,"[2013, 2014, 2015, 2016, 2017]",182,1
"TEXAS AT AUSTIN, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",142,1
TEXAS SOUTHERN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",146,1
TEXAS TECH UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",147,1
TEXAS WESLEYAN UNIVERSITY,[2012],#N/A,0
THOMAS JEFFERSON SCHOOL OF LAW,"[2012, 2013, 2014, 2015, 2016, 2017]",185,1
THOMAS M. COOLEY LAW SCHOOL,"[2012, 2013, 2014, 2015, 2016, 2017]",80,1
THOMAS M. COOLEY SCHOOL OF LAW â€“ MICHIGAN,[2016],#N/A,0
"TOLEDO, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",120,1
TOURO COLLEGE,"[2012, 2013, 2014, 2015, 2016, 2017]",174,1
TULANE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",65,1
"TULSA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",124,1
UNIVERSITY OF BUFFALO-SUNY,"[2013, 2014, 2015, 2016, 2017]",98,1
UNIVERSITY OF LA VERNE,"[2012, 2013, 2014, 2015, 2016, 2017]",198,1
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,"[2013, 2014, 2015, 2016, 2017]",216,1
UNIVERSITY OF NEVADA - LAS VEGAS,"[2012, 2013, 2014, 2015, 2016, 2017]",190,1
UNIVERSITY OF ST. THOMAS,[2012],#N/A,0
"UTAH, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",151,1
VALPARAISO UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",54,1
VANDERBILT UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",141,1
VERMONT LAW SCHOOL,"[2012, 2013, 2014, 2015, 2016, 2017]",152,1
VILLANOVA UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",133,1
"VIRGINIA, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",153,1
WAKE FOREST UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",111,1
WASHBURN UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",58,1
WASHINGTON AND LEE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",155,1
WASHINGTON UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",88,1
"WASHINGTON, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",158,1
WAYNE STATE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",79,1
WEST VIRGINIA UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",161,1
WESTERN NEW ENGLAND UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",75,1
WESTERN STATE,[2012],188,0.8
WESTERN STATE COLLEGE OF LAW,"[2013, 2014, 2015, 2016, 2017]",188,1
WHITTIER COLLEGE,[2012],167,0.8
WHITTIER LAW SCHOOL,"[2013, 2014, 2015, 2016, 2017]",167,1
WIDENER UNIVERSITY,[2012],26,0.7
WIDENER UNIVERSITY-DELAWARE,"[2013, 2014, 2015, 2016, 2017]",26,1
WIDENER UNIVERSITY-HARRISBURG,"[2012, 2013]",179,0.7
WIDENER-COMMONWEALTH,"[2014, 2015, 2016, 2017]",179,1
WILLAMETTE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",127,1
WILLIAM AND MARY LAW SCHOOL,"[2013, 2014, 2015, 2016, 2017]",157,1
WILLIAM AND MARY SCHOOL OF LAW,[2012],157,0.8
WILLIAM MITCHELL COLLEGE OF LAW,"[2012, 2013, 2014, 2015, 2016]",82,1
"WISCONSIN, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",162,1
"WYOMING, UNIVERSITY OF","[2012, 2013, 2014, 2015, 2016, 2017]",164,1
YALE UNIVERSITY,"[2012, 2013, 2014, 2015, 2016, 2017]",25,1
YESHIVA UNIVERSITY,[2012],168,0.8