SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded-FTLT,Funded-FTST,Funded-PTLT,Funded-PTST,Funded Position,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType Total,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"AKRON, UNIVERSITY OF",64,1,3,0,68,17,0,0,0,17,9,0,0,0,9,9,0,1,1,11,0,0,0,0,0,0,0,5,6,0,116,0,0,0,0,0,6,0,0,0,6,20,0,1,0,21,2,0,0,0,2,4,0,0,0,4,5,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,1,1,1,34,19,0,1,0,20,2,0,0,0,2,1,0,0,0,1,5,0,1,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,99,1,4,1,105,Ohio,82,New York,5,Pennsylvania,4,2
FORDHAM UNIVERSITY,246,14,2,3,265,12,14,3,42,71,19,3,0,4,26,0,0,0,0,0,0,0,0,0,0,4,3,12,40,7,428,4,12,0,41,57,0,0,0,0,0,26,1,2,3,32,14,2,0,0,16,11,0,0,0,11,12,0,0,0,12,12,1,0,0,13,28,1,0,0,29,66,1,0,0,67,1,0,0,1,2,35,10,3,3,51,29,0,0,18,47,13,3,0,20,36,10,0,0,1,11,17,0,0,3,20,0,0,0,0,0,3,12,0,0,15,0,0,0,0,0,277,31,5,49,362,New York,275,New Jersey,30,District of Columbia,12,4
GEORGE MASON UNIVERSITY,102,6,1,0,109,31,2,5,6,44,9,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,170,2,1,0,7,10,2,0,0,0,2,31,1,3,0,35,11,0,0,0,11,3,0,0,0,3,3,0,0,0,3,4,0,0,0,4,5,0,0,0,5,4,0,0,0,4,0,0,0,0,0,18,6,1,0,25,37,1,1,2,41,6,1,1,3,11,4,0,0,0,4,10,0,0,0,10,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,142,9,6,6,163,Virginia,93,District Of Columbia,40,Maryland,8,0
GEORGE WASHINGTON UNIVERSITY,421,12,3,2,438,35,2,1,0,38,11,0,1,0,12,0,0,0,0,0,5,0,0,0,6,10,0,2,12,0,518,80,0,0,1,81,3,0,0,0,3,45,2,1,0,48,23,2,0,0,25,11,1,0,0,12,17,0,0,0,17,8,0,0,0,8,23,0,0,0,23,72,0,0,0,72,3,0,0,0,3,51,4,2,2,59,87,2,1,0,90,39,3,0,0,42,24,0,0,0,24,19,0,0,0,19,1,0,0,0,1,36,0,1,0,37,10,0,0,0,11,472,14,5,2,494,District Of Columbia,253,Virginia,48,New York,46,7
GEORGETOWN UNIVERSITY,403,2,2,4,411,55,74,5,11,145,16,1,0,1,18,3,1,4,0,8,8,0,0,1,9,2,5,7,35,4,644,19,58,0,7,84,1,0,0,1,2,26,0,0,1,27,8,0,0,0,8,6,0,0,0,6,7,0,0,0,7,20,0,0,0,20,38,0,0,0,38,158,1,3,0,162,3,2,1,0,6,39,10,7,7,63,63,24,0,0,87,54,38,0,6,98,25,0,0,0,25,26,0,0,0,26,0,0,0,0,0,7,3,0,1,11,4,0,0,1,5,485,78,11,17,591,District of Columbia,253,New York,114,California,49,12
GEORGIA STATE UNIVERSITY,120,3,2,0,125,24,0,1,0,25,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,6,0,1,9,4,186,0,0,0,0,0,0,0,0,0,0,57,1,1,0,59,8,0,0,0,8,1,0,0,0,1,1,0,0,0,1,4,0,0,0,4,1,0,0,0,1,10,1,1,0,12,0,0,0,0,0,43,0,0,0,43,20,0,0,0,20,5,1,1,0,7,5,0,0,0,5,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,160,3,3,0,166,Georgia,156,District Of Columbia,3,North Carolina,2,0
"GEORGIA, UNIVERSITY OF",139,11,3,6,159,12,2,0,3,17,9,2,0,1,12,0,0,1,1,2,0,0,0,0,0,9,5,0,23,0,227,0,2,0,3,5,0,0,0,0,0,32,3,3,4,42,20,0,0,0,20,8,0,0,0,8,6,0,0,0,6,4,1,0,0,5,2,0,0,0,2,14,2,0,0,16,0,1,0,1,2,15,5,1,1,22,19,0,0,0,19,10,2,0,3,15,17,0,0,0,17,12,0,0,0,12,0,0,0,0,0,1,1,0,2,4,0,0,0,0,0,160,15,4,11,190,Georgia,151,District of Columbia,10,New York,6,1
GOLDEN GATE UNIVERSITY,42,4,3,29,78,15,6,0,8,29,5,2,1,1,9,1,1,0,6,8,0,0,0,1,1,11,7,11,34,3,191,1,2,0,24,27,6,0,1,0,7,19,1,2,7,29,8,0,0,4,12,2,0,0,0,2,2,0,0,0,2,1,0,0,1,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,12,4,1,9,26,7,0,0,10,17,4,3,0,7,14,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,3,0,6,10,0,0,0,0,0,63,13,4,45,125,California,111,New York,3,District Of Columbia,2,0
GONZAGA UNIVERSITY,89,2,4,0,95,13,3,1,0,17,1,1,0,0,2,4,1,2,0,7,2,0,0,0,2,12,0,2,15,8,160,0,0,0,0,0,4,0,0,0,4,38,0,2,0,40,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6,0,1,0,7,17,2,3,0,22,16,3,0,0,19,4,2,1,0,7,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,109,7,7,0,123,Washington,59,Utah,11,Oregon,9,0
HAMLINE UNIVERSITY,103,2,6,1,112,39,2,2,0,43,7,0,3,0,10,2,0,6,0,8,0,0,0,0,7,5,0,9,9,2,205,0,0,0,0,0,3,0,0,0,3,50,0,3,0,55,4,0,0,0,4,2,0,0,0,2,3,0,0,0,3,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,51,2,9,1,65,13,2,2,0,18,5,0,2,0,8,1,0,0,0,1,14,0,0,0,14,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,151,4,17,1,180,Minnesota,134,Wisconsin,17,Washington,4,1
HARVARD UNIVERSITY,525,4,2,0,531,21,1,0,1,23,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,8,1,4,13,0,583,33,0,0,0,33,1,0,0,0,1,7,1,0,0,8,7,0,0,0,7,8,0,0,0,8,7,0,0,0,7,18,0,0,0,18,40,2,0,0,42,226,0,0,0,226,0,0,0,0,0,27,1,0,1,29,31,1,0,0,32,53,1,2,0,56,95,0,0,0,95,26,0,0,0,26,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,548,6,2,1,557,New York,169,District Of Columbia,81,California,71,16
RUTGERS UNIVERSITY-CAMDEN,141,3,2,8,154,17,1,2,5,25,18,0,1,0,19,0,0,0,1,1,0,0,0,0,0,8,0,2,27,6,242,0,1,2,0,3,4,0,0,0,4,24,1,3,6,34,5,0,0,0,5,3,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,6,1,0,0,7,0,0,0,0,0,26,1,1,4,32,14,0,0,3,17,5,0,0,0,5,7,0,0,0,7,77,0,0,0,77,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,176,4,5,14,199,New Jersey,133,Pennsylvania,35,New York,8,0
RUTGERS UNIVERSITY-NEWARK,140,2,1,0,143,16,4,4,1,25,26,2,5,1,34,2,0,0,0,2,1,0,0,0,1,9,0,5,19,10,248,2,1,0,0,3,5,0,2,0,7,15,0,0,0,15,2,0,0,0,2,1,0,0,0,1,8,0,0,0,8,3,0,0,0,3,3,0,0,0,3,10,0,0,0,10,1,1,1,0,3,25,7,2,0,34,21,0,3,1,25,4,0,1,1,6,3,0,0,0,3,77,0,0,0,77,0,0,0,0,0,6,0,1,0,7,1,0,0,0,1,185,8,10,2,205,New Jersey,145,New York,47,District of Columbia,2,2
UNIVERSITY OF LA VERNE,38,2,6,1,47,8,1,0,0,9,8,0,1,0,9,1,0,3,1,5,0,0,0,0,0,5,0,2,39,0,116,0,0,1,0,1,1,0,0,0,1,27,0,5,0,32,6,1,0,1,8,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,2,4,1,20,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,55,3,10,2,70,California,66,Colorado,1,Massachusetts,1,0
UNIVERSITY OF NEVADA - LAS VEGAS,85,0,5,0,90,6,0,0,0,6,9,0,0,0,9,6,0,2,0,8,0,0,0,0,0,3,0,4,7,1,128,0,0,0,0,0,5,0,0,0,5,28,0,3,0,31,5,0,0,0,5,8,0,0,0,8,3,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,20,10,0,0,0,10,1,0,2,0,3,4,0,0,0,4,20,0,0,0,20,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,106,0,7,0,113,Nevada,94,California,5,Arizona,2,3
UNIVERSITY OF ST. THOMAS,59,10,5,5,79,21,4,0,0,25,5,0,1,0,6,0,0,3,0,3,1,0,1,0,2,4,0,7,6,2,134,0,0,0,0,0,7,0,0,0,7,20,0,2,2,24,5,0,0,0,5,2,0,0,0,2,3,0,0,0,3,3,2,0,0,5,1,0,0,0,1,1,1,0,0,2,0,1,1,0,2,22,7,5,3,37,8,0,1,0,9,6,1,0,0,7,1,0,0,0,1,5,2,0,0,7,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,86,14,10,5,115,Minnesota,87,Wisconsin,5,Arizona,2,2
"UTAH, UNIVERSITY OF",92,2,3,1,98,8,3,3,3,17,4,0,0,0,4,1,0,1,0,2,0,0,0,0,0,2,2,2,7,0,134,2,0,1,1,4,7,0,0,1,8,31,0,2,1,34,7,0,1,0,8,4,0,0,0,4,5,3,0,0,8,2,0,0,0,2,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,15,1,1,0,17,14,1,0,2,17,4,0,1,0,5,1,0,0,0,1,10,0,0,0,10,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,105,5,7,4,121,Utah,94,Nevada,7,California,5,0
YESHIVA UNIVERSITY,197,8,8,53,266,15,1,2,1,19,4,1,3,0,8,4,0,0,3,7,0,0,0,0,2,7,14,22,29,6,380,0,0,0,34,34,4,0,0,0,4,25,1,8,15,49,22,1,1,0,24,6,0,0,2,8,9,0,0,0,9,7,0,0,0,7,9,0,0,0,9,29,1,0,0,30,2,0,0,0,2,45,4,4,5,58,23,1,0,13,37,13,1,0,19,33,11,0,0,1,12,12,0,0,0,12,0,0,0,0,0,3,1,0,2,6,0,0,0,0,2,220,10,13,57,302,New York,224,New Jersey,18,District of Columbia,8,6